,沪深300 ETF,中证500 ETF,HS300A,HS300B,MoneyFund,恒生,南方香港,石油黄金,恒生,易基黄金,国投新兴,招商金砖,银华通胀,华宝油气,添富贵金,工银资源,信诚四国,信诚商品,H股ETF,德国30,纳指ETF,标普500
国投新兴,0.0471068862331,0.0227902185514,0.0679975715389,-0.0251608363772,-0.000190730790837,0.0162601920589,0.0982924420199,0.190535740174,0.0212852535167,0.148900609861,1.0,0.147750175508,0.116828678526,0.175748913212,0.0317975609265,0.149059696928,0.109869172629,0.190242981304,0.0153143151465,0.0191464729523,0.00828667846797,0.0267801460251
招商金砖,0.0459866400398,0.0232427769302,0.010114728847,-0.0218365621111,-9.36763168797e-05,0.0316845189184,0.131818592459,0.224396268113,0.133217833614,0.0481259872134,0.147750175508,1.0,0.130318934098,0.13722371974,0.11347485422,0.137063712656,0.0954530941554,0.075892770986,0.0122447669848,0.0234005929247,0.0128462094792,0.0340050231482
银华通胀,0.02183935721,0.00313083548351,0.10400207787,-0.0191050838839,0.000685984423829,0.0351254794249,0.00310920526753,0.0654666324325,0.133575115329,0.0669509663634,0.116828678526,0.130318934098,1.0,-0.00320773766826,0.0212892619254,0.141154756917,0.109680533606,0.0676949167136,0.0108472960528,0.0254668930392,0.0508876333159,0.0421293538271
华宝油气,0.0368065695789,0.00550192448922,0.0514127822211,-0.0189605038585,0.00867968231304,0.00974123829717,0.1023288909,0.146209343133,0.0541166323209,0.023393261818,0.175748913212,0.13722371974,-0.00320773766826,1.0,0.0809227338528,0.0308526435881,0.232307775831,0.0274552997441,-0.00274355998469,0.029141496649,0.0294586587755,0.0320829052826
添富贵金,0.013617039707,-0.00380331715134,0.0390439372441,-0.0226661672108,0.00121564572729,0.0193614943066,0.0782549373001,0.0725594939386,0.0775427490874,0.127188290423,0.0317975609265,0.11347485422,0.0212892619254,0.0809227338528,1.0,0.100145751709,0.217855976185,-0.000212197400563,-0.000242828542576,0.00121000701798,-0.0340406004209,-0.0331702061107
工银资源,0.0228646620663,0.014493475439,-0.02716991034,-0.0215396730942,0.00411919147897,0.029923862079,0.0962284532819,0.0975529420331,0.02156514864,0.0656963795831,0.149059696928,0.137063712656,0.141154756917,0.0308526435881,0.100145751709,1.0,0.147868354565,0.102616576733,0.0110077548237,-0.000459743491758,-0.0171983385588,-0.0052992749843
信诚四国,0.0384420796861,0.0137794879637,0.085387624716,0.0329811468795,0.00319982126418,0.0411414898534,0.0587522823457,0.122962559497,0.109993847557,0.0454544764983,0.109869172629,0.0954530941554,0.109680533606,0.232307775831,0.217855976185,0.147868354565,1.0,0.0376037433315,0.0116157570659,0.0363562220878,0.00851758809264,0.00807431447467
信诚商品,0.0514427095089,0.0145615628359,-0.0115371510544,-0.0221833186947,0.00601432000863,0.0233537336323,0.140516987774,0.102434919895,0.14831392981,0.0107350800346,0.190242981304,0.075892770986,0.0676949167136,0.0274552997441,-0.000212197400563,0.102616576733,0.0376037433315,1.0,0.0112979741416,0.0143854033182,-0.00213354020566,0.00227260956523
H股ETF,0.282183854312,0.165990768879,0.0473856865962,-0.000845051546197,0.00130130158266,0.350884718851,-0.0114711928575,-0.00643118127711,0.0281510795,-0.0186468130687,0.0153143151465,0.0122447669848,0.0108472960528,-0.00274355998469,-0.000242828542576,0.0110077548237,0.0116157570659,0.0112979741416,1.0,0.186048956819,0.137512392857,0.103314330644
德国30,0.336285709266,0.17005066061,0.0310205562293,0.0165246326839,-0.0314976941015,0.454618446469,0.0512318770117,0.0205272129651,0.0437886666213,0.00218423294904,0.0191464729523,0.0234005929247,0.0254668930392,0.029141496649,0.00121000701798,-0.000459743491758,0.0363562220878,0.0143854033182,0.186048956819,1.0,0.487504243896,0.46877698184
纳指ETF,0.242700399273,0.130405023473,0.0834862098351,0.0369674202598,0.026310207044,0.434507253434,0.0226965984111,0.0322008159703,0.0109441886779,0.0226545030316,0.00828667846797,0.0128462094792,0.0508876333159,0.0294586587755,-0.0340406004209,-0.0171983385588,0.00851758809264,-0.00213354020566,0.137512392857,0.487504243896,1.0,0.74047689472
标普500,0.233751314534,0.11763348175,0.0859187771065,0.0794262935538,-0.0156702322515,0.368540615296,0.0551010720031,0.0136203635618,-0.00822757634799,0.047046222636,0.0267801460251,0.0340050231482,0.0421293538271,0.0320829052826,-0.0331702061107,-0.0052992749843,0.00807431447467,0.00227260956523,0.103314330644,0.46877698184,0.74047689472,1.0
