,1996-05-15,1996-11-13,1997-05-14,1997-11-12,1998-05-13,1998-11-11,1999-05-12,1999-11-17,2000-05-17,2000-11-15,2001-05-16,2001-11-14,2002-05-15,2002-11-13,2003-05-14,2003-11-12,2004-05-12,2004-11-17,2005-05-18,2005-11-16,2006-05-17,2006-11-15,2007-05-16,2007-11-14,2008-05-14,2008-11-12,2009-05-13,2009-11-18,2010-05-12,2010-11-17,2011-05-18,2011-11-16,2012-05-16,2012-11-14,2013-05-15,2013-11-13,2014-05-14,2014-11-12,2015-05-13,2015-11-18,2016-05-18
300184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.12494471,-0.27975739,-0.2245614,0.2081448,0.3670412,0.66027397,0.18151815,1.58100559,-0.00378788,-0.34111896,NaN
600303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.36457161,-0.13989375,-0.14411765,0.41237113,-0.11922141,0.19668508,-0.37811634,-0.27579807,0.00205023,0.18670077,0.28017241,1.003367,-0.06722689,-0.29009009,-0.52284264,1.05851064,0.374677,0.22180451,0.14923077,0.27710843,-0.03878407,-0.34667394,-0.26890336,0.08219178,-0.07594937,-0.16666667,0.64383562,0.45166667,NaN,-0.10297872,0.0056926
600351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05154639,-0.38043478,0.52807018,-0.19517796,-0.20114123,-0.14196429,0.16545265,-0.07142857,1.47115385,0.08949416,0.33642857,-0.37199359,1.14212766,0.75844259,0.00655219,0.17396184,-0.2208413,-0.18159509,-0.07496252,-0.14748784,0.0513308,0.05063291,0.3697074,0.19829103,0.36136745,0.00300416,-0.2502112,0.03963946
300221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.06153846,-0.19777895,-0.01944628,0.08336134,0.11076637,1.44972067,0.62143672,-0.19198312,0.46823325,NaN
000043,1.15909091,0.2277193,-0.23349528,0.34228188,-0.2,-0.22222222,0.19642857,0.18283582,0.39116719,0.03174603,-0.32307692,0.08441558,0.04341317,-0.32424677,-0.27473461,0.31733021,0.24444444,-0.39642857,NaN,0.11428571,0.25878443,0.8807997,0.37845969,-0.42819729,-0.66157761,1.83458647,NaN,-0.35038168,0.04259694,0.11665258,-0.18268988,0.58999691,-0.02330097,0.08747515,-0.06581353,0.0,0.49315068,0.49672346,-0.04991243,-0.33732719,0.50764951
000802,NaN,NaN,NaN,NaN,0.07745267,-0.17731629,0.12815534,0.58864028,0.1007584,-0.02165354,-0.29778672,0.02765043,-0.21943399,-0.2205751,-0.17736022,-0.21169916,-0.52650177,0.23880597,0.12048193,0.37634409,NaN,1.65901639,0.00246609,0.25830258,-0.7370479,1.07063197,0.41831239,-0.24493671,0.11399832,-0.01038375,-0.13899027,-0.09572589,-0.2421875,0.20876289,0.24946695,0.92866894,NaN,1.07617051,0.0026927,-0.26720376,0.0155749
600602,0.26066351,0.31578947,-0.20857143,0.71480144,-0.14568421,0.08797437,0.84915062,0.25673689,0.01461988,-0.05379443,-0.23553299,-0.08366534,-0.04347826,-0.06969697,-0.09283388,0.66014363,-0.22342381,-0.44436708,-0.31253133,NaN,-0.02800425,1.68636032,-0.0412707,-0.04984424,-0.68554396,0.97630332,NaN,0.0610119,0.1542777,-0.12636695,-0.17802503,-0.20812183,-0.19230769,0.07407407,0.00738916,0.66332518,-0.04527414,0.58121632,NaN,-0.11209128,0.15982721
300034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30503145,-0.02771084,0.08302354,-0.09508009,-0.06852952,0.11361477,0.05716724,0.20258273,0.44199425,0.80585106,-0.18446244,-0.29164786,0.38368388
002089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.11562021,0.28917749,-0.65177972,3.46576663,0.14510905,0.17857816,0.3504,-0.01658768,-0.12168675,-0.18106996,-0.24623116,0.01555556,0.05251641,0.38544699,0.43667467,1.12513056,-0.21945346,0.16806246,NaN
000936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37911392,-0.11580236,0.02595156,-0.31264755,0.11800785,-0.21658986,-0.07815126,-0.11455485,0.14996568,-0.27036705,-0.31288344,-0.13928571,0.16528354,0.22848665,2.24251208,-0.2716031,-0.02249949,-0.63255911,0.72266515,0.93520661,-0.16296549,0.65918367,-0.0295203,-0.23193916,-0.17491749,-0.254,-0.03753351,-0.02506964,0.02571429,0.62116992,1.09278351,0.05172414,-0.3715847,0.33291925
