code,1996-01-04,1997-01-06,1998-01-05,1999-01-04,2000-01-04,2001-01-04,2002-01-04,2003-01-06,2004-01-05,2005-01-04,2006-01-04,2007-01-04,2008-01-04,2009-01-05,2010-01-04,2011-01-04,2012-01-04,2013-01-04,2014-01-06,2015-01-05
000816,NaN,NaN,0.0279,0.009,0.4709,-0.2622,-0.2149,-0.2421,-0.375,-0.1333,NaN,1.9404,-0.3604,1.2799,0.0385,0.0351,NaN,-0.2162,0.4652,0.2209
600119,NaN,NaN,NaN,0.0521,0.3594,-0.033,0.0139,-0.4663,-0.2676,-0.3571,0.2009,1.694,-0.5086,1.5484,-0.1825,-0.3757,0.0697,2.314,-0.158,0.1565
002096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.309,-0.4892,2.9828,0.158,-0.1463,-0.1819,-0.0103,0.0172,0.9283
002588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2007,0.4025,0.4572,0.6685
600138,NaN,NaN,0.1315,0.4659,0.6704,-0.4348,-0.2007,-0.2377,0.0776,-0.1553,NaN,1.6661,-0.718,1.0726,-0.0831,0.0469,0.0688,0.1029,0.4575,0.2854
300486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
002359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3812,0.0949,0.4367,0.0278,NaN
600814,0.8928,-0.1347,-0.0453,0.2186,1.062,-0.2628,-0.222,-0.2545,-0.1138,0.1218,0.6028,1.1013,-0.551,0.9679,-0.0559,-0.316,0.1715,NaN,0.3633,0.3392
600995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3,0.362,3.093,-0.5787,0.5299,0.4219,-0.4305,-0.1742,-0.1047,0.7592,0.2041
300157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2225,1.3962,-0.3392,0.0255
